id,name
1,Закуски к пиву
2,Холодные закуски
3,Салаты
4,Супы
5,Горячие блюда
6,Колбаски
7,Гарниры
8,Соусы
9,Хлеб
10,Десерты
11,Вода и газировка
12,Лимонады
13,Соки свежевыжатые
14,Соки
15,Молочные коктейли
16,Чай
17,Фруктовый чай
18,Кофе
